,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),SMAD4/18q (Del)
FAT1 (M),-1.41,-0.48,0.0,-0.0,-3.2
APC (M),-1.54,1.2,-1.9,-1.97,-0.0
TGFBR2 (M),0.0,-1.41,-1.14,-1.04,-2.27
SMAD4 (M),-1.01,-0.98,-1.27,-1.27,-0.05
SMAD4/18q (Del),-1.99,-1.21,-3.1,-1.03,1.18
