,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),TP53 (M)
FAT1 (M),-0.82,-1.18,0.09,-1.28,-2.64
APC (M),-1.04,1.12,-1.18,-0.72,0.0
TGFBR2 (M),0.0,-2.89,-0.5,-1.45,-2.37
SMAD4 (M),-0.29,-2.36,-1.84,-0.33,-0.96
TP53 (M),-0.77,-2.92,-2.2,-1.4,2.01
