,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),ID3/1p (Del)
FAT1 (M),-1.89,-0.66,0.59,-0.58,-1.69
APC (M),-1.92,1.37,-2.5,-2.9,-1.34
TGFBR2 (M),0.0,-1.4,-1.54,-1.47,-1.61
SMAD4 (M),-0.6,-0.6,-1.11,-1.49,-0.16
ID3/1p (Del),-1.58,-0.0,-1.89,-1.31,-0.74
