,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),RNF43 (M)
FAT1 (M),-2.89,-0.0,-0.0,-0.72,1.81
APC (M),-1.82,1.44,-3.04,-2.18,-3.27
TGFBR2 (M),0.0,-0.87,-2.31,-1.11,1.25
SMAD4 (M),-0.37,-0.92,-1.5,-1.27,-0.85
RNF43 (M),-0.0,-2.31,-0.0,-0.02,-0.77
