,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),ATM (M)
FAT1 (M),-2.13,-0.69,0.82,-0.69,-0.0
APC (M),-1.87,1.26,-2.46,-1.98,-2.18
TGFBR2 (M),-0.0,-1.51,-1.71,-1.27,-0.0
SMAD4 (M),-0.38,-0.95,-1.4,-1.3,-0.56
ATM (M),1.34,-0.3,-0.58,-0.04,-2.35
