,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),ARID1A (M)
FAT1 (M),-2.61,-0.47,0.0,-0.54,1.79
APC (M),-1.99,1.32,-2.33,-2.2,-1.81
TGFBR2 (M),0.35,-1.45,-1.76,-1.31,0.0
SMAD4 (M),-0.49,-0.88,-1.13,-1.31,-0.83
ARID1A (M),-0.0,-1.07,1.0,-0.4,-1.3
