,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),BRAF (M)
FAT1 (M),-2.12,-0.7,0.76,-0.57,-0.0
APC (M),-1.7,1.51,-2.57,-2.6,-4.03
TGFBR2 (M),0.0,-1.33,-1.79,-1.29,0.0
SMAD4 (M),-0.49,-0.82,-1.08,-1.29,-1.12
BRAF (M),-0.0,-1.81,0.37,-0.0,-0.79
