,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),AMER1 (M)
FAT1 (M),-2.18,-0.62,0.76,-0.4,-0.0
APC (M),-2.43,1.22,-2.4,-1.84,-0.01
TGFBR2 (M),0.0,-1.56,-1.7,-1.22,0.0
SMAD4 (M),-0.89,-1.06,-1.46,-1.26,-0.0
AMER1 (M),0.71,-0.05,0.84,-0.11,-2.61
