,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),B2M (M)
FAT1 (M),-2.39,-0.54,-0.0,-0.53,1.9
APC (M),-2.14,1.28,-2.75,-2.5,-2.54
TGFBR2 (M),0.6,-1.36,-1.83,-1.22,-0.0
SMAD4 (M),-0.51,-0.77,-1.3,-1.4,-0.8
B2M (M),-0.0,-0.76,0.77,-0.54,-2.16
