,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),ASXL1/20q (Amp)
FAT1 (M),-1.11,-1.21,0.0,-0.76,-2.28
APC (M),-0.82,1.14,-1.53,-0.99,-0.0
TGFBR2 (M),0.0,-1.85,-1.0,-1.35,-2.17
SMAD4 (M),-0.89,-1.64,-1.8,-0.61,-0.99
ASXL1/20q (Amp),-2.2,-1.1,-2.57,-1.39,1.22
