,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),SOX9 (M)
FAT1 (M),-2.14,-0.75,0.68,-0.48,0.33
APC (M),-1.82,1.31,-2.49,-2.97,-2.12
TGFBR2 (M),0.0,-1.45,-1.74,-1.24,0.0
SMAD4 (M),-0.72,-0.62,-1.28,-1.48,-0.24
SOX9 (M),0.0,-0.29,0.58,-0.91,-1.73
