,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),KMT2D (M)
FAT1 (M),-1.78,-1.12,0.25,-1.01,-0.67
APC (M),-0.57,1.32,-2.41,-2.46,-3.12
TGFBR2 (M),0.0,-1.25,-2.14,-1.0,1.41
SMAD4 (M),-0.0,-0.8,-1.52,-1.36,-0.99
KMT2D (M),2.54,-1.05,-0.78,-0.35,-1.6
