,FAT1 (M),APC (M),TGFBR2 (M),SMAD4 (M),PTEN (M)
FAT1 (M),-2.23,-0.6,1.09,-0.27,-0.36
APC (M),-1.93,1.28,-3.4,-2.74,-2.65
TGFBR2 (M),-0.74,-1.25,-1.92,-1.03,1.11
SMAD4 (M),-0.99,-0.67,-1.65,-1.46,-0.0
PTEN (M),1.71,-0.23,-1.42,-0.14,-2.4
