,T0,T1,T2,E_1
T0,-0.73,-0.97,-0.06,-0.0
T1,-0.28,-1.93,0.0,-0.45
T2,-0.1,0.33,-1.87,0.19
E_1,-0.0,-0.19,0.0,-2.54
