,T0,T1,T2,C_1
T0,-0.71,-1.04,-0.0,-0.27
T1,-0.26,-1.97,0.0,0.13
T2,-0.13,0.32,-1.83,-0.21
C_1,-0.16,0.0,-0.02,-1.86
