,T0,T1,T2,A_1
T0,-0.75,-0.78,-0.0,0.15
T1,-0.44,-1.91,0.0,-0.06
T2,-0.14,0.36,-1.8,-0.82
A_1,0.0,-0.24,-0.79,-2.28
