,T0,T1,T2,B_1
T0,-0.61,-0.93,-0.0,-0.34
T1,-0.26,-1.96,0.0,0.0
T2,-0.05,0.4,-1.77,-0.24
B_1,-0.01,0.43,-0.12,0.01
