,T0,T1,T2,D_0
T0,-0.81,-1.08,0.13,0.09
T1,-0.18,-2.0,0.41,-0.01
T2,0.04,-0.0,-2.11,0.35
D_0,0.14,0.94,-0.41,-1.46
