,T0,T1,T2,E_1
T0,-0.84,-0.61,0.09,0.29
T1,-0.47,-1.92,0.04,0.37
T2,-0.0,0.44,-2.17,0.96
E_1,0.0,-1.22,-1.01,-2.37
