,T0,T1,T2,B_2
T0,-0.79,-0.89,-0.06,-0.0
T1,-0.24,-1.97,0.23,0.05
T2,0.28,0.32,-2.11,-0.23
B_2,-0.12,0.39,-0.0,-1.62
