,T0,T1,T2,C_1
T0,-0.8,-0.33,-0.0,-0.39
T1,-0.67,-1.9,-0.17,0.49
T2,0.2,0.64,-2.13,-0.39
C_1,-0.47,-0.3,0.27,-1.81
