,T0,T1,T2,A_1
T0,-0.9,-0.28,-0.67,0.39
T1,-0.0,-1.68,0.35,-0.61
T2,0.58,0.53,-2.19,-1.09
A_1,-0.75,-0.03,0.0,-2.08
