,T0,T1,T2,D_0
T0,-0.89,-0.43,-0.82,0.29
T1,-0.25,-2.06,0.0,1.49
T2,0.59,0.63,-2.25,-0.15
D_0,-0.09,0.0,0.3,-1.23
