,T0,T1,T2,B_0
T0,-0.89,-0.5,0.0,-0.0
T1,-0.0,-1.86,0.43,0.71
T2,0.17,0.42,-2.09,-0.07
B_0,-0.32,-0.0,-0.0,-1.55
