,T0,T1,T2,A_1
T0,-0.85,-1.02,-0.34,0.14
T1,-0.22,-1.98,-0.02,-0.49
T2,0.43,-0.0,-2.19,-0.74
A_1,-0.48,-0.1,-0.0,-2.05
