,T0,T1,T2,B_1
T0,-0.86,-0.69,0.23,-0.09
T1,-0.49,-1.97,0.03,0.0
T2,0.0,0.05,-1.99,-0.31
B_1,-0.07,0.15,-0.0,-0.07
