,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),MET (M)
TP53 (M),0.55,-0.0,-3.29,-2.3,-1.75
MCL1/1q (Amp),-1.03,0.27,-3.26,-0.88,-3.02
TERT/5p (Amp),0.44,0.93,-0.92,-0.74,-0.0
KRAS (M),-0.87,-0.76,-3.39,0.29,-2.79
MET (M),-0.66,-1.38,-0.37,-1.55,-2.18
