,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),SMAD4 (M)
TP53 (M),0.65,-0.5,-3.91,-2.94,-0.6
MCL1/1q (Amp),-0.38,-0.05,-2.52,-0.39,-0.76
TERT/5p (Amp),0.48,0.86,-0.91,-0.71,-0.12
KRAS (M),-0.59,-1.63,-3.52,0.25,0.0
SMAD4 (M),-0.56,0.0,-1.27,-1.9,-2.53
