,T0,T1,T2,D_0
T0,-0.65,-0.4,0.0,0.0
T1,-0.41,-2.21,0.0,0.0
T2,0.65,-0.04,-2.18,-0.0
D_0,0.0,1.44,-0.02,-2.18
