,T0,T1,T2,B_1
T0,-0.75,-0.57,0.03,0.25
T1,-0.31,-2.23,-0.0,0.0
T2,0.59,-0.0,-2.16,-0.01
B_1,0.0,0.1,-0.06,0.09
