,T0,T1,T2,C_3
T0,-0.62,-0.35,0.01,-0.09
T1,-0.41,-2.21,-0.0,0.0
T2,0.7,-0.0,-2.2,-0.01
C_3,-0.01,0.11,-0.24,-0.24
