,T0,T1,T2,E_3
T0,-0.85,-0.36,-0.01,0.28
T1,-0.58,-1.86,0.0,-0.16
T2,-0.0,0.74,-2.21,0.5
E_3,0.0,-0.2,0.0,-1.88
