,T0,T1,T2,C_3
T0,-0.77,-0.92,-0.34,-0.0
T1,-0.12,-2.02,0.0,0.1
T2,0.38,0.67,-2.21,-0.08
C_3,-0.72,0.11,0.0,-0.27
