,T0,T1,T2,B_0
T0,-0.83,-0.0,0.0,-0.2
T1,-1.2,-1.87,0.0,0.58
T2,0.04,0.79,-2.13,-0.16
B_0,0.0,-0.04,-0.06,-1.74
