,T0,T1,T2,B_0
T0,-0.63,-1.09,0.02,0.1
T1,-0.0,-2.11,-0.02,-0.02
T2,0.41,0.43,-2.19,-0.08
B_0,-0.05,0.24,-0.03,-1.66
