,T0,T1,T2,A_0
T0,-0.64,-0.99,0.27,0.0
T1,-0.03,-2.07,-0.04,-0.46
T2,0.25,0.47,-2.09,-1.1
A_0,-0.19,-0.62,-0.2,-2.23
