,STK11 (M),KEAP1 (M),KRAS (M),ARID1A (M)
STK11 (M),-2.11,2.29,0.0,-1.12
KEAP1 (M),-0.0,-2.1,0.05,-0.19
KRAS (M),0.25,-0.63,-0.64,-0.01
ARID1A (M),-0.33,-0.01,-0.9,-2.74
