,STK11 (M),KEAP1 (M),KRAS (M),EPHA7/6q (Del)
STK11 (M),-2.12,2.28,-0.0,-0.07
KEAP1 (M),-0.0,-2.11,0.16,-0.17
KRAS (M),0.32,-0.83,-0.62,-0.09
EPHA7/6q (Del),-0.62,0.0,-1.4,-0.74
