,STK11 (M),KEAP1 (M),KRAS (M),KMT2D (M)
STK11 (M),-2.13,2.29,-0.0,-0.84
KEAP1 (M),-0.0,-2.12,0.0,0.6
KRAS (M),0.23,-0.51,-0.63,-1.04
KMT2D (M),0.0,-0.0,-0.78,-3.25
