,STK11 (M),KEAP1 (M),KRAS (M),RB1/13q (Del)
STK11 (M),-2.08,2.27,-0.0,-0.29
KEAP1 (M),-0.0,-2.02,0.0,-0.36
KRAS (M),0.22,-0.59,-0.52,-0.64
RB1/13q (Del),-1.9,-1.44,-2.8,-0.66
