,STK11 (M),KEAP1 (M),KRAS (M),BCL2/18q (Del)
STK11 (M),-2.03,2.28,-0.0,-0.52
KEAP1 (M),-0.0,-2.0,0.0,-0.48
KRAS (M),0.21,-0.55,-0.5,-0.73
BCL2/18q (Del),-1.66,-0.8,-1.6,-0.62
