,STK11 (M),KEAP1 (M),KRAS (M),MCL1/1q (Amp)
STK11 (M),-2.11,2.29,-0.12,-0.0
KEAP1 (M),0.0,-2.1,0.0,0.0
KRAS (M),0.53,-0.47,-0.48,-0.74
MCL1/1q (Amp),-0.09,0.13,-1.09,-0.35
