,STK11 (M),KEAP1 (M),KRAS (M),CDKN2A/9p (Del)
STK11 (M),-2.14,2.27,-0.02,0.01
KEAP1 (M),0.0,-2.25,0.0,0.44
KRAS (M),0.29,-0.42,-0.51,-0.52
CDKN2A/9p (Del),-1.69,-1.38,-2.74,-0.2
