,TP53 (M),SMAD4 (M),CTNNB1 (M),KMT2A (M)
TP53 (M),1.17,-1.93,-2.18,-2.52
SMAD4 (M),-0.82,-1.38,-0.55,-1.51
CTNNB1 (M),-1.08,-0.45,-1.8,-0.46
KMT2A (M),-2.04,-1.4,-0.46,-2.08
