,TP53 (M),SMAD4 (M),CTNNB1 (M),ARID1A (M)
TP53 (M),1.26,-1.94,-1.77,-2.29
SMAD4 (M),-0.84,-1.32,-0.39,-1.17
CTNNB1 (M),-1.15,-0.49,-1.77,-0.03
ARID1A (M),-1.7,-1.04,-0.05,-1.09
