,TP53 (M),SMAD4 (M),CTNNB1 (M),ARID1A/1p (Del)
TP53 (M),1.21,-0.23,-0.91,-1.49
SMAD4 (M),-2.77,-0.79,-0.71,-0.12
CTNNB1 (M),-2.37,-0.44,-1.29,-0.53
ARID1A/1p (Del),-0.95,-1.96,-1.7,-0.24
