,TP53 (M),SMAD4 (M),CTNNB1 (M),SPEN (M)
TP53 (M),1.17,-1.84,-1.92,-2.43
SMAD4 (M),-0.86,-1.36,-0.46,-1.42
CTNNB1 (M),-1.14,-0.49,-1.78,0.0
SPEN (M),-2.12,-1.27,-0.0,-2.06
