,TP53 (M),SMAD4 (M),CTNNB1 (M),POLE (M)
TP53 (M),1.13,-1.86,-1.93,-1.98
SMAD4 (M),-0.8,-1.41,-0.52,-0.98
CTNNB1 (M),-1.17,-0.46,-1.77,-0.0
POLE (M),-1.76,-1.0,-0.0,-2.62
