,TP53 (M),SMAD4 (M),CTNNB1 (M),KDM5A (M)
TP53 (M),1.12,-1.84,-1.95,-1.84
SMAD4 (M),-0.8,-1.42,-0.51,-0.52
CTNNB1 (M),-1.17,-0.48,-1.77,-0.09
KDM5A (M),-1.65,-0.55,-0.07,-2.66
