,TP53 (M),SMAD4 (M),CTNNB1 (M),CASP8 (M)
TP53 (M),1.14,-1.84,-2.01,-1.88
SMAD4 (M),-0.82,-1.4,-0.48,-1.12
CTNNB1 (M),-1.12,-0.49,-1.79,-0.01
CASP8 (M),-2.06,-0.79,-0.13,-2.28
