,TP53 (M),SMAD4 (M),CTNNB1 (M),CARD11 (M)
TP53 (M),1.11,-1.64,-1.8,-1.23
SMAD4 (M),-0.93,-1.34,-0.54,-1.07
CTNNB1 (M),-1.25,-0.44,-1.74,0.0
CARD11 (M),-1.63,-1.03,0.21,-2.43
