,TP53 (M),SMAD4 (M),CTNNB1 (M),B2M (M)
TP53 (M),1.17,-2.02,-1.84,-2.39
SMAD4 (M),-0.74,-1.44,-0.44,-0.86
CTNNB1 (M),-1.15,-0.49,-1.8,0.28
B2M (M),-1.94,-0.79,0.0,-2.01
