,TP53 (M),SMAD4 (M),CTNNB1 (M),PRKD1/14q (Del)
TP53 (M),1.02,-0.73,-1.09,-0.0
SMAD4 (M),-1.83,-0.94,-0.66,-0.57
CTNNB1 (M),-2.0,-0.49,-1.43,-0.41
PRKD1/14q (Del),-0.54,-1.12,-1.0,-0.75
