,TP53 (M),SMAD4 (M),CTNNB1 (M),NOTCH1 (M)
TP53 (M),1.15,-1.8,-1.91,-2.08
SMAD4 (M),-0.87,-1.36,-0.52,-1.46
CTNNB1 (M),-1.18,-0.46,-1.76,-0.21
NOTCH1 (M),-2.05,-1.35,-0.14,-2.15
