,TP53 (M),SMAD4 (M),CTNNB1 (M),EP300 (M)
TP53 (M),1.17,-1.84,-1.98,-2.11
SMAD4 (M),-0.86,-1.36,-0.53,-1.47
CTNNB1 (M),-1.17,-0.46,-1.75,-0.47
EP300 (M),-2.05,-1.3,-0.41,-1.99
