,TP53 (M),SMAD4 (M),CTNNB1 (M),NCOR1 (M)
TP53 (M),1.14,-1.96,-2.0,-2.11
SMAD4 (M),-0.75,-1.45,-0.51,-0.7
CTNNB1 (M),-1.14,-0.48,-1.78,-0.15
NCOR1 (M),-1.7,-0.75,-0.13,-2.58
