,TP53 (M),SMAD4 (M),CTNNB1 (M),PTEN (M)
TP53 (M),1.17,-1.76,-1.92,-1.86
SMAD4 (M),-0.84,-1.37,-0.48,-0.75
CTNNB1 (M),-1.17,-0.49,-1.76,-0.21
PTEN (M),-1.99,-0.46,-0.22,-1.7
