,TP53 (M),SMAD4 (M),CTNNB1 (M),NOTCH3 (M)
TP53 (M),1.17,-1.72,-2.22,-2.42
SMAD4 (M),-0.91,-1.33,-0.56,-1.16
CTNNB1 (M),-1.01,-0.41,-1.85,-0.01
NOTCH3 (M),-1.84,-1.12,-0.01,-2.05
