,TP53 (M),SMAD4 (M),CTNNB1 (M),TGFBR2 (M)
TP53 (M),1.21,-2.02,-2.28,-3.01
SMAD4 (M),-0.82,-1.37,-0.54,-1.78
CTNNB1 (M),-0.97,-0.39,-1.87,-0.0
TGFBR2 (M),-2.31,-1.62,-0.01,-1.84
