,TP53 (M),SMAD4 (M),CTNNB1 (M),NF1 (M)
TP53 (M),1.13,-1.85,-1.72,-1.74
SMAD4 (M),-0.81,-1.41,-0.46,-0.91
CTNNB1 (M),-1.29,-0.51,-1.72,0.0
NF1 (M),-1.5,-0.98,0.0,-2.3
