,TP53 (M),SMAD4 (M),CTNNB1 (M),CIC (M)
TP53 (M),1.15,-1.78,-1.65,-2.2
SMAD4 (M),-0.89,-1.36,-0.38,-1.64
CTNNB1 (M),-1.32,-0.58,-1.7,0.0
CIC (M),-2.36,-1.37,0.0,-2.22
