,TP53 (M),SMAD4 (M),CTNNB1 (M),FLT3/13q (Amp)
TP53 (M),1.06,-1.01,-1.97,-0.0
SMAD4 (M),-1.35,-1.01,-1.24,-0.37
CTNNB1 (M),-1.01,-0.08,-1.67,-0.51
FLT3/13q (Amp),-0.57,-1.36,-2.78,0.65
