,TP53 (M),SMAD4 (M),CTNNB1 (M),ARID1B (M)
TP53 (M),1.14,-1.85,-1.83,-1.95
SMAD4 (M),-0.83,-1.39,-0.5,-1.26
CTNNB1 (M),-1.22,-0.47,-1.75,-0.0
ARID1B (M),-1.82,-1.27,-0.0,-2.33
