,TP53 (M),SMAD4 (M),CTNNB1 (M),null
TP53 (M),1.08,-1.62,-1.81,0.0
SMAD4 (M),-0.93,-1.36,-0.55,0.0
CTNNB1 (M),-1.29,-0.49,-1.72,0.0
null,0.0,0.0,0.0,0.0
